index,speaker,start,end,duration,text
1,Stewardess (Latam),12.045,12.845,0.800,Leandro?
2,Leandro Disconzi (passenger),12.865,13.265,0.400,¿Sí?
3,Stewardess (Latam),13.265,14.645,1.380,necesito que me acompane
4,Leandro Disconzi (passenger),14.645,19.085,4.440,"Yo no voy a salir sin un motivo, me da la razón porque yo tengo que salir del vuelo."
5,Stewardess (Latam),19.305,20.545,1.240,por que golpeo mi companero
6,Leandro Disconzi (passenger),20.545,21.445,0.900,"Yo golpeé, yo golpeé?"
7,Leandro Disconzi (passenger),21.865,22.745,0.880,"Yo puedo mirar también,"
8,Leandro Disconzi (passenger),22.925,23.405,0.480,"Yo puedo mirar también,"
9,Leandro Disconzi (passenger),23.645,24.305,0.660,eso o que?
10,Stewardess (Latam),24.525,25.645,1.120,eso es lo que me indican
11,Leandro Disconzi (passenger),25.645,29.085,3.440,"Ya, entonces por una indicación, tú me vas a sacar del vuelo."
12,Stewardess (Latam),29.085,29.265,0.180,"Por esto. Porque no puede pasar a llevar el personal, no puede tocar"
13,Stewardess (Latam),29.265,29.465,0.200,"Por esto. Porque no puede pasar a llevar el personal, no puede tocar"
14,Stewardess (Latam),29.465,30.245,0.780,"Por esto. Porque no puede pasar a llevar el personal, no puede tocar"
15,Leandro Disconzi (passenger),30.245,31.045,0.800,"Pero mi problema, es injusticia eso"
16,Stewardess (Latam),31.045,31.285,0.240,"Por esto. Porque no puede pasar a llevar el personal, no puede tocar"
17,Stewardess (Latam),31.285,32.505,1.220,"Por esto. Porque no puede pasar a llevar el personal, no puede tocar"
18,Leandro Disconzi (passenger),33.085,33.485,0.400,"tocar a una cosa, tocar a una cosa. No, no, mira, si tú tienes prueba, la cámara, la grabación y que demuestre que yo lo asalté, que yo lo pegue, mira yo salgo."
19,Leandro Disconzi (passenger),34.405,51.705,17.300,"tocar a una cosa, tocar a una cosa. No, no, mira, si tú tienes prueba, la cámara, la grabación y que demuestre que yo lo asalté, que yo lo pegue, mira yo salgo."
20,Leandro Disconzi (passenger),52.005,62.245,10.240,"Por que yo pregunte, entonce lo tiempo de embarque entonces son 15 minutos"
21,Leandro Disconzi (passenger),62.605,64.125,1.520,"Y en 15 minutos, ultima llamada. Yo ni estava esperando."
22,Leandro Disconzi (passenger),64.525,78.005,13.480,"Mira! Ustedes estan haciendo las cosas incorrectas, ya?! Y ahora ustedes estan intentando culparme por que yo simplesmente pregunte?"
23,Leandro Disconzi (passenger),78.205,79.185,0.980,"Eso es muy ""blackmail""! Mira, hagan lo que quieran, yo no voy salir da ca, ahora si quieren  que alguien venga aca y me saque da ca a fuerza? dale por que yo no voy."
24,Leandro Disconzi (passenger),79.565,80.685,1.120,"Eso es muy ""blackmail""! Mira, hagan lo que quieran, yo no voy salir da ca, ahora si quieren  que alguien venga aca y me saque da ca a fuerza? dale por que yo no voy."
25,Leandro Disconzi (passenger),80.885,84.325,3.440,"Eso es muy ""blackmail""! Mira, hagan lo que quieran, yo no voy salir da ca, ahora si quieren  que alguien venga aca y me saque da ca a fuerza? dale por que yo no voy."
26,Leandro Disconzi (passenger),84.745,85.385,0.640,"Eso es muy ""blackmail""! Mira, hagan lo que quieran, yo no voy salir da ca, ahora si quieren  que alguien venga aca y me saque da ca a fuerza? dale por que yo no voy."
27,Stewardess (Latam),85.605,86.945,1.340,"Eso es lo motivo por que qual tiene que desembarcar, por que ustede puedes conversar con mi companero, preguntarle todo lo que usted quiera"
28,Stewardess (Latam),86.945,92.105,5.160,"Eso es lo motivo por que qual tiene que desembarcar, por que ustede puedes conversar con mi companero, preguntarle todo lo que usted quiera"
29,Leandro Disconzi (passenger),92.105,93.985,1.880,Yo no tengo que Yo conversar
30,Stewardess (Latam),93.985,95.105,1.120,..lo que quiera. Pero no llegar a tocarlo.
31,Stewardess (Latam),95.105,95.685,0.580,Eso es el motivo. Por que haces eso?
32,Stewardess (Latam),95.685,97.485,1.800,Eso es el motivo. Por que haces eso?
33,Stewardess (Latam),97.865,98.005,0.140,Porque
34,Stewardess (Latam),98.005,98.345,0.340,Porque lo toca?
35,Stewardess (Latam),98.345,98.905,0.560,Porque lo toca?
36,Leandro Disconzi (passenger),99.325,106.785,7.460,"Yo soy brasileno. nosotros no somo como ustedes. Yo toque, ciao. Uno lo toca as vezes"
37,Stewardess (Latam),106.785,109.325,2.540,"Eso que no me indica, asi que por eso lo tenemos que desembarcar"
38,Leandro Disconzi (passenger),109.325,111.205,1.880,"Mira, yo ya te explique. Mi saca da ca a fuerza, bacana. si no, mira."
39,Leandro Disconzi (passenger),111.485,113.845,2.360,"Mira, yo ya te explique. Mi saca da ca a fuerza, bacana. si no, mira."
40,Stewardess (Latam),113.985,115.265,1.280,Ok. yo llamo la seguridad.
41,Leandro Disconzi (passenger),115.265,116.945,1.680,"Dale. Dale, dale dale. No es lo primero processo contra la latam. Va ajuntar uno mas."
42,Leandro Disconzi (passenger),117.125,117.505,0.380,"Dale. Dale, dale dale. No es lo primero processo contra la latam. Va ajuntar uno mas."
43,Leandro Disconzi (passenger),118.325,120.065,1.740,"Dale. Dale, dale dale. No es lo primero processo contra la latam. Va ajuntar uno mas."
44,Leandro Disconzi (passenger),120.285,121.385,1.100,"Dale. Dale, dale dale. No es lo primero processo contra la latam. Va ajuntar uno mas."
45,Passengers (multiple),144.085,151.365,7.280,"Então, minha ajuda é mais de suporte para poder oferecer os caminhões, tá? Aliás, eu não sei,"
46,Passengers (multiple),152.125,152.605,0.480,eu
47,Passengers (multiple),156.745,159.945,3.200,"me organizei para ele, tá? Como eu te falei, a passagem eu não cancelei ainda,"
48,Passengers (multiple),160.385,166.185,5.800,"mas eu não reservei a hospedagem, né? Nem a terra, nem a hospedagem, até a pessoa na casa que eu tinha olhado."
49,Passengers (multiple),196.685,202.445,5.760,"Ju, então, responde para ele que eu estou fora, né? Que eu estou voltando. Tenta marcar já no momento, na segunda, tá?"
50,Passengers (multiple),202.985,205.305,2.320,"E aí, aproveita e pergunta para ele se é"
51,Passengers (multiple),207.045,210.525,3.480,para tratar alguma coisa sobre os dados em si da planilha.
52,Passengers (multiple),211.045,216.025,4.980,"Ou se já é sobre a precificação, alguma coisa, porque aí, dependendo, é só para ele."
53,Passengers (multiple),216.685,223.045,6.360,"Mas, pelo e -mail dele, eu entendi que ainda tem mais alguma informação, assim, aí teria que participar, tanto do"
54,Passengers (multiple),223.845,225.985,2.140,"Tomás, quanto do"
55,Passengers (multiple),226.985,228.325,1.340,"Tomás, quanto do Tomás, até o cliente."
